,Open,High,Low,Close,Volume
2025-07-01 10:37:00,2982.0,2984.0,2982.0,2983.0,94921913.0
2025-07-01 10:38:00,2983.0,2983.0,2982.0,2983.0,94474282.0
2025-07-01 10:39:00,2983.0,2983.0,2982.0,2983.0,95469452.0
2025-07-01 10:40:00,2983.0,2983.0,2982.0,2983.0,95600940.0
2025-07-01 10:41:00,2983.0,2983.0,2982.0,2982.0,94079235.0
2025-07-01 10:42:00,2982.0,2984.0,2982.0,2983.0,95981387.0
2025-07-01 10:43:00,2983.0,2984.0,2983.0,2983.0,96226864.0
2025-07-01 10:44:00,2984.0,2984.0,2983.0,2983.0,95546046.0
2025-07-01 10:45:00,2983.0,2985.0,2983.0,2985.0,96582101.0
2025-07-01 10:46:00,2984.0,2985.0,2984.0,2984.0,96837798.0
2025-07-01 10:47:00,2985.0,2985.0,2983.0,2983.0,96421159.0
2025-07-01 10:48:00,2983.0,2984.0,2982.0,2982.0,97552883.0
2025-07-01 10:49:00,2982.0,2984.0,2982.0,2984.0,96981051.0
2025-07-01 10:50:00,2984.0,2984.0,2983.0,2983.0,97990532.0
2025-07-01 10:51:00,2984.0,2984.0,2982.0,2983.0,98158828.0
2025-07-01 10:52:00,2983.0,2983.0,2981.0,2983.0,97617048.0
2025-07-01 10:53:00,2982.0,2983.0,2982.0,2983.0,97796181.0
2025-07-01 10:54:00,2983.0,2983.0,2982.0,2983.0,97059747.0
2025-07-01 10:55:00,2982.0,2983.0,2981.0,2981.0,98834820.0
2025-07-01 10:56:00,2982.0,2983.0,2981.0,2983.0,99044578.0
2025-07-01 10:57:00,2983.0,2983.0,2981.0,2983.0,99340599.0
2025-07-01 10:58:00,2983.0,2983.0,2981.0,2981.0,98599414.0
2025-07-01 10:59:00,2981.0,2983.0,2981.0,2982.0,99504757.0
2025-07-01 11:00:00,2982.0,2984.0,2982.0,2982.0,99796338.0
2025-07-01 11:01:00,2982.0,2982.0,2981.0,2982.0,99147826.0
2025-07-01 11:02:00,2982.0,2983.0,2982.0,2983.0,97580887.0
2025-07-01 11:03:00,2982.0,2983.0,2981.0,2982.0,97649061.0
2025-07-01 11:04:00,2981.0,2982.0,2981.0,2982.0,99409381.0
2025-07-01 11:05:00,2982.0,2982.0,2981.0,2981.0,98643189.0
2025-07-01 11:06:00,2981.0,2982.0,2981.0,2981.0,97852147.0
2025-07-01 11:07:00,2981.0,2982.0,2981.0,2982.0,97916418.0
2025-07-01 11:08:00,2982.0,2982.0,2980.0,2981.0,100784244.0
2025-07-01 11:09:00,2981.0,2981.0,2980.0,2980.0,101055594.0
2025-07-01 11:10:00,2980.0,2982.0,2980.0,2981.0,100622954.0
2025-07-01 11:11:00,2981.0,2982.0,2981.0,2982.0,100708713.0
2025-07-01 11:12:00,2982.0,2982.0,2980.0,2980.0,100007775.0
2025-07-01 11:13:00,2980.0,2982.0,2980.0,2981.0,101146050.0
2025-07-01 11:14:00,2982.0,2982.0,2981.0,2981.0,101312341.0
2025-07-01 11:15:00,2981.0,2982.0,2980.0,2980.0,102527694.0
2025-07-01 11:16:00,2981.0,2981.0,2980.0,2981.0,102709785.0
2025-07-01 11:17:00,2981.0,2981.0,2980.0,2981.0,102877358.0
2025-07-01 11:18:00,2981.0,2981.0,2978.0,2979.0,103413999.0
2025-07-01 11:19:00,2979.0,2981.0,2979.0,2980.0,103095233.0
2025-07-01 11:20:00,2981.0,2983.0,2980.0,2982.0,104125087.0
2025-07-01 11:21:00,2983.0,2983.0,2982.0,2983.0,103530956.0
2025-07-01 11:22:00,2983.0,2984.0,2981.0,2983.0,104669689.0
2025-07-01 11:23:00,2984.0,2986.0,2983.0,2985.0,105913582.0
2025-07-01 11:24:00,2984.0,2986.0,2984.0,2985.0,106443646.0
2025-07-01 11:25:00,2985.0,2986.0,2984.0,2986.0,106915552.0
2025-07-01 11:26:00,2985.0,2990.0,2985.0,2990.0,107933775.0
2025-07-01 11:27:00,2989.0,2990.0,2987.0,2988.0,110957270.0
2025-07-01 11:28:00,2988.0,2989.0,2986.0,2986.0,111885269.0
2025-07-01 11:29:00,2987.0,2989.0,2985.0,2987.0,112568174.0
2025-07-01 11:30:00,2987.0,2987.0,2987.0,2987.0,1884204.0
2025-07-01 13:30:00,2988.0,2990.0,2986.0,2987.0,112949879.0
2025-07-01 13:31:00,2988.0,2989.0,2986.0,2987.0,114711636.0
2025-07-01 13:32:00,2988.0,2988.0,2987.0,2987.0,115230943.0
2025-07-01 13:33:00,2987.0,2988.0,2987.0,2988.0,115423511.0
2025-07-01 13:34:00,2988.0,2992.0,2987.0,2991.0,116323205.0
2025-07-01 13:35:00,2991.0,2992.0,2990.0,2992.0,118268076.0
2025-07-01 13:36:00,2992.0,2992.0,2990.0,2991.0,119103911.0
2025-07-01 13:37:00,2992.0,2992.0,2990.0,2991.0,119710295.0
2025-07-01 13:38:00,2992.0,2992.0,2990.0,2991.0,120326968.0
2025-07-01 13:39:00,2991.0,2991.0,2987.0,2987.0,121336385.0
2025-07-01 13:40:00,2987.0,2990.0,2987.0,2989.0,122043996.0
